	Year	Series	Value
Indonesia	2016	"Assault rate per 100,000 population"	5.53
Indonesia	2016	"Kidnapping at the national level, rate per 100,000"	0.143
Indonesia	2016	"Theft at the national level, rate per 100,000 population"	10.18
Indonesia	2016	"Robbery at the national level, rate per 100,000 population"	4.624
Indonesia	2016	"Total Sexual Violence at the national level, rate per 100,000"	2.006
Indonesia	2017	"Intentional homicide rates per 100,000"	0.4345
Indonesia	2017	"Assault rate per 100,000 population"	4.69
Indonesia	2017	"Kidnapping at the national level, rate per 100,000"	0.091
Indonesia	2017	"Robbery at the national level, rate per 100,000 population"	4.04
Indonesia	2017	"Total Sexual Violence at the national level, rate per 100,000"	2.083
Iran (Islamic Republic of)	2004	"Intentional homicide rates per 100,000"	2.9224
Iran (Islamic Republic of)	2004	"Theft at the national level, rate per 100,000 population"	159.3
Iran (Islamic Republic of)	2009	"Intentional homicide rates per 100,000"	3.0374
Iran (Islamic Republic of)	2014	"Intentional homicide rates per 100,000"	2.4992
Iran (Islamic Republic of)	2014	"Percentage of male and female intentional homicide victims, Male"	4.3685
Iran (Islamic Republic of)	2014	"Percentage of male and female intentional homicide victims, Female"	0.5857
Iraq	2010	"Intentional homicide rates per 100,000"	9.0478
Iraq	2010	"Percentage of male and female intentional homicide victims, Male"	14.704
Iraq	2010	"Percentage of male and female intentional homicide victims, Female"	3.2753
Iraq	2013	"Intentional homicide rates per 100,000"	10.0703
Iraq	2013	"Percentage of male and female intentional homicide victims, Male"	16.7013
Iraq	2013	"Percentage of male and female intentional homicide victims, Female"	3.2963
Ireland	2005	"Intentional homicide rates per 100,000"	1.2557
Ireland	2005	"Percentage of male and female intentional homicide victims, Male"	2.1182
Ireland	2005	"Percentage of male and female intentional homicide victims, Female"	0.3959
Ireland	2005	"Assault rate per 100,000 population"	301.35
Ireland	2005	"Kidnapping at the national level, rate per 100,000"	1.787
Ireland	2005	"Theft at the national level, rate per 100,000 population"	1421.85
Ireland	2005	"Total Sexual Violence at the national level, rate per 100,000"	43.492
Ireland	2010	"Intentional homicide rates per 100,000"	1.2076
Ireland	2010	"Percentage of male and female intentional homicide victims, Male"	2.1107
Ireland	2010	"Percentage of male and female intentional homicide victims, Female"	0.3158
Ireland	2010	"Assault rate per 100,000 population"	330.22
Ireland	2010	"Kidnapping at the national level, rate per 100,000"	2.942
Ireland	2010	"Theft at the national level, rate per 100,000 population"	1436.45
Ireland	2010	"Robbery at the national level, rate per 100,000 population"	70.18
Ireland	2010	"Total Sexual Violence at the national level, rate per 100,000"	51.954
Ireland	2016	"Intentional homicide rates per 100,000"	0.7879
Ireland	2016	"Percentage of male and female intentional homicide victims, Male"	1.4196
Ireland	2016	"Percentage of male and female intentional homicide victims, Female"	0.0843
Ireland	2016	"Assault rate per 100,000 population"	76.53
Ireland	2016	"Kidnapping at the national level, rate per 100,000"	1.533
Ireland	2016	"Theft at the national level, rate per 100,000 population"	1383.75
Ireland	2016	"Robbery at the national level, rate per 100,000 population"	44.698
Ireland	2016	"Total Sexual Violence at the national level, rate per 100,000"	47.466
Ireland	2017	"Intentional homicide rates per 100,000"	0.8626
Ireland	2017	"Percentage of male and female intentional homicide victims, Male"	1.1468
Ireland	2017	"Percentage of male and female intentional homicide victims, Female"	0.6253
Ireland	2017	"Assault rate per 100,000 population"	85.15
Ireland	2017	"Kidnapping at the national level, rate per 100,000"	1.599
Ireland	2017	"Robbery at the national level, rate per 100,000 population"	46.013
Ireland	2017	"Total Sexual Violence at the national level, rate per 100,000"	53.461
Isle of Man	2016	"Intentional homicide rates per 100,000"	0
Israel	2005	"Intentional homicide rates per 100,000"	2.5883
Israel	2005	"Percentage of male and female intentional homicide victims, Male"	3.757
Israel	2005	"Percentage of male and female intentional homicide victims, Female"	1.4507
Israel	2005	"Assault rate per 100,000 population"	782.88
Israel	2005	"Kidnapping at the national level, rate per 100,000"	6.402
Israel	2005	"Theft at the national level, rate per 100,000 population"	1918.98
Israel	2005	"Total Sexual Violence at the national level, rate per 100,000"	70.424
Israel	2010	"Intentional homicide rates per 100,000"	2.0418
Israel	2010	"Percentage of male and female intentional homicide victims, Male"	3.1885
Israel	2010	"Percentage of male and female intentional homicide victims, Female"	0.9229
Israel	2010	"Assault rate per 100,000 population"	626.29
Israel	2010	"Kidnapping at the national level, rate per 100,000"	3.634
Israel	2010	"Theft at the national level, rate per 100,000 population"	984.77
Israel	2010	"Robbery at the national level, rate per 100,000 population"	39.559
Israel	2010	"Total Sexual Violence at the national level, rate per 100,000"	67.465
Israel	2011	"Intentional homicide rates per 100,000"	1.9634
Israel	2011	"Percentage of male and female intentional homicide victims, Male"	3.054
Israel	2011	"Percentage of male and female intentional homicide victims, Female"	0.8978
Israel	2011	"Assault rate per 100,000 population"	575.25
Israel	2011	"Kidnapping at the national level, rate per 100,000"	3.539
Israel	2011	"Theft at the national level, rate per 100,000 population"	945.76
Israel	2011	"Robbery at the national level, rate per 100,000 population"	36.677
Israel	2011	"Total Sexual Violence at the national level, rate per 100,000"	61.066
Israel	2017	"Intentional homicide rates per 100,000"	1.492
Israel	2017	"Percentage of male and female intentional homicide victims, Male"	2.4424
Israel	2017	"Percentage of male and female intentional homicide victims, Female"	0.5543
Italy	2005	"Intentional homicide rates per 100,000"	1.0466
Italy	2005	"Percentage of male and female intentional homicide victims, Male"	1.6747
Italy	2005	"Percentage of male and female intentional homicide victims, Female"	0.454
Italy	2005	"Assault rate per 100,000 population"	97.17
Italy	2005	"Kidnapping at the national level, rate per 100,000"	0.631
Italy	2005	"Theft at the national level, rate per 100,000 population"	1882.88
Italy	2005	"Total Sexual Violence at the national level, rate per 100,000"	6.898
Italy	2010	"Intentional homicide rates per 100,000"	0.8917
Italy	2010	"Percentage of male and female intentional homicide victims, Male"	1.3048
Italy	2010	"Percentage of male and female intentional homicide victims, Female"	0.5044
Italy	2010	"Assault rate per 100,000 population"	109.34
Italy	2010	"Kidnapping at the national level, rate per 100,000"	0.592
Italy	2010	"Theft at the national level, rate per 100,000 population"	1591.28
Italy	2010	"Robbery at the national level, rate per 100,000 population"	80.903
Italy	2010	"Total Sexual Violence at the national level, rate per 100,000"	8.113
Italy	2015	"Intentional homicide rates per 100,000"	0.7742
Italy	2015	"Percentage of male and female intentional homicide victims, Male"	1.1331
Italy	2015	"Percentage of male and female intentional homicide victims, Female"	0.4359
Italy	2015	"Assault rate per 100,000 population"	107.23
Italy	2015	"Kidnapping at the national level, rate per 100,000"	0.474
Italy	2015	"Theft at the national level, rate per 100,000 population"	1725.67
Italy	2015	"Robbery at the national level, rate per 100,000 population"	57.919
Italy	2015	"Total Sexual Violence at the national level, rate per 100,000"	7.447
Italy	2017	"Intentional homicide rates per 100,000"	0.6115
Italy	2017	"Percentage of male and female intentional homicide victims, Male"	0.8175
Italy	2017	"Percentage of male and female intentional homicide victims, Female"	0.4168
Italy	2017	"Assault rate per 100,000 population"	108.41
Italy	2017	"Kidnapping at the national level, rate per 100,000"	0.326
Italy	2017	"Robbery at the national level, rate per 100,000 population"	51.368
Italy	2017	"Total Sexual Violence at the national level, rate per 100,000"	8.43
Jamaica	2005	"Intentional homicide rates per 100,000"	61.0949
Jamaica	2005	"Percentage of male and female intentional homicide victims, Male"	109.6099
Jamaica	2005	"Percentage of male and female intentional homicide victims, Female"	13.4543
Jamaica	2005	"Kidnapping at the national level, rate per 100,000"	1.131
Jamaica	2005	"Total Sexual Violence at the national level, rate per 100,000"	39.854
Jamaica	2008	"Intentional homicide rates per 100,000"	58.1983
Jamaica	2008	"Percentage of male and female intentional homicide victims, Male"	105.28
Jamaica	2008	"Percentage of male and female intentional homicide victims, Female"	11.7791
Jamaica	2008	"Kidnapping at the national level, rate per 100,000"	1.546
Jamaica	2008	"Total Sexual Violence at the national level, rate per 100,000"	52.912
Jamaica	2010	"Intentional homicide rates per 100,000"	51.4862
Jamaica	2010	"Percentage of male and female intentional homicide victims, Male"	93.1656
Jamaica	2010	"Percentage of male and female intentional homicide victims, Female"	10.2622
Jamaica	2010	"Assault rate per 100,000 population"	50.07
Jamaica	2010	"Robbery at the national level, rate per 100,000 population"	101.601
Jamaica	2010	"Total Sexual Violence at the national level, rate per 100,000"	52.883
Jamaica	2016	"Intentional homicide rates per 100,000"	46.5894
Jamaica	2016	"Percentage of male and female intentional homicide victims, Male"	84.4231
Jamaica	2016	"Percentage of male and female intentional homicide victims, Female"	9.2319
Jamaica	2016	"Assault rate per 100,000 population"	77.84
Jamaica	2016	"Kidnapping at the national level, rate per 100,000"	0.378
Jamaica	2016	"Theft at the national level, rate per 100,000 population"	6.47
Jamaica	2016	"Robbery at the national level, rate per 100,000 population"	49.277
Jamaica	2016	"Total Sexual Violence at the national level, rate per 100,000"	53.889
Jamaica	2017	"Intentional homicide rates per 100,000"	56.3877
Jamaica	2017	"Percentage of male and female intentional homicide victims, Male"	102.4923
Jamaica	2017	"Percentage of male and female intentional homicide victims, Female"	10.8843
Jamaica	2017	"Assault rate per 100,000 population"	98.73
Jamaica	2017	"Kidnapping at the national level, rate per 100,000"	0.411
Jamaica	2017	"Robbery at the national level, rate per 100,000 population"	43.376
Jamaica	2017	"Total Sexual Violence at the national level, rate per 100,000"	54.707
Japan	2005	"Intentional homicide rates per 100,000"	0.5011
Japan	2005	"Percentage of male and female intentional homicide victims, Male"	0.5152
Japan	2005	"Percentage of male and female intentional homicide victims, Female"	0.4875
Japan	2005	"Assault rate per 100,000 population"	46.99
Japan	2005	"Kidnapping at the national level, rate per 100,000"	0.216
Japan	2005	"Theft at the national level, rate per 100,000 population"	719.5
Japan	2005	"Total Sexual Violence at the national level, rate per 100,000"	8.437
Japan	2010	"Intentional homicide rates per 100,000"	0.3617
Japan	2010	"Percentage of male and female intentional homicide victims, Male"	0.3626
Japan	2010	"Percentage of male and female intentional homicide victims, Female"	0.3609
Japan	2010	"Assault rate per 100,000 population"	20.73
Japan	2010	"Kidnapping at the national level, rate per 100,000"	0.145
Japan	2010	"Theft at the national level, rate per 100,000 population"	480.85
Japan	2010	"Robbery at the national level, rate per 100,000 population"	3.152
Japan	2010	"Total Sexual Violence at the national level, rate per 100,000"	6.505
Japan	2016	"Intentional homicide rates per 100,000"	0.2833
Japan	2016	"Percentage of male and female intentional homicide victims, Male"	0.2643
Japan	2016	"Percentage of male and female intentional homicide victims, Female"	0.3015
Japan	2016	"Assault rate per 100,000 population"	19.07
Japan	2016	"Kidnapping at the national level, rate per 100,000"	0.178
Japan	2016	"Theft at the national level, rate per 100,000 population"	293.12
Japan	2016	"Robbery at the national level, rate per 100,000 population"	1.825
Japan	2016	"Total Sexual Violence at the national level, rate per 100,000"	5.617
Japan	2017	"Intentional homicide rates per 100,000"	0.24
Japan	2017	"Percentage of male and female intentional homicide victims, Male"	0.2135
Japan	2017	"Percentage of male and female intentional homicide victims, Female"	0.2653
Jordan	2005	"Intentional homicide rates per 100,000"	1.1621
Jordan	2005	"Assault rate per 100,000 population"	254.54
Jordan	2005	"Kidnapping at the national level, rate per 100,000"	0.486
Jordan	2005	"Theft at the national level, rate per 100,000 population"	122.58
Jordan	2006	"Intentional homicide rates per 100,000"	1.669
Jordan	2006	"Assault rate per 100,000 population"	261.92
Jordan	2006	"Kidnapping at the national level, rate per 100,000"	0.567
Jordan	2006	"Theft at the national level, rate per 100,000 population"	149.28
Jordan	2010	"Intentional homicide rates per 100,000"	1.5975
Jordan	2010	"Percentage of male and female intentional homicide victims, Male"	2.1061
Jordan	2010	"Percentage of male and female intentional homicide victims, Female"	1.068
Jordan	2010	"Theft at the national level, rate per 100,000 population"	168
Jordan	2012	"Intentional homicide rates per 100,000"	1.9901
Jordan	2012	"Percentage of male and female intentional homicide victims, Male"	3.3082
Jordan	2012	"Percentage of male and female intentional homicide victims, Female"	0.6283
Jordan	2012	"Theft at the national level, rate per 100,000 population"	166.98
Jordan	2017	"Intentional homicide rates per 100,000"	1.3591
Jordan	2017	"Percentage of male and female intentional homicide victims, Male"	2.0191
Jordan	2017	"Percentage of male and female intentional homicide victims, Female"	0.6828
Jordan	2017	"Robbery at the national level, rate per 100,000 population"	6.06
Kazakhstan	2004	"Intentional homicide rates per 100,000"	13.7115
Kazakhstan	2005	"Kidnapping at the national level, rate per 100,000"	0.597
Kazakhstan	2005	"Theft at the national level, rate per 100,000 population"	409.93
Kazakhstan	2010	"Intentional homicide rates per 100,000"	8.5342
Kazakhstan	2010	"Percentage of male and female intentional homicide victims, Male"	13.2773
Kazakhstan	2010	"Percentage of male and female intentional homicide victims, Female"	4.0968
Kazakhstan	2010	"Assault rate per 100,000 population"	9.79
Kazakhstan	2010	"Kidnapping at the national level, rate per 100,000"	0.781
Kazakhstan	2010	"Theft at the national level, rate per 100,000 population"	369.11
Kazakhstan	2010	"Robbery at the national level, rate per 100,000 population"	66.047
Kazakhstan	2010	"Total Sexual Violence at the national level, rate per 100,000"	2.172
Kazakhstan	2015	"Intentional homicide rates per 100,000"	4.8543
Kazakhstan	2015	"Percentage of male and female intentional homicide victims, Male"	7.0758
Kazakhstan	2015	"Percentage of male and female intentional homicide victims, Female"	2.7692
Kazakhstan	2015	"Assault rate per 100,000 population"	5.12
Kazakhstan	2015	"Kidnapping at the national level, rate per 100,000"	0.45
Kazakhstan	2015	"Theft at the national level, rate per 100,000 population"	1188.86
Kazakhstan	2015	"Robbery at the national level, rate per 100,000 population"	69.412
Kazakhstan	2015	"Total Sexual Violence at the national level, rate per 100,000"	2.658
Kazakhstan	2017	"Intentional homicide rates per 100,000"	5.0608
Kazakhstan	2017	"Percentage of male and female intentional homicide victims, Male"	7.9204
Kazakhstan	2017	"Percentage of male and female intentional homicide victims, Female"	2.3718
Kazakhstan	2017	"Assault rate per 100,000 population"	11.34
Kazakhstan	2017	"Kidnapping at the national level, rate per 100,000"	0.409
Kazakhstan	2017	"Robbery at the national level, rate per 100,000 population"	52.373
Kazakhstan	2017	"Total Sexual Violence at the national level, rate per 100,000"	11.715
Kenya	2005	"Intentional homicide rates per 100,000"	2.9586
Kenya	2005	"Assault rate per 100,000 population"	34.72
Kenya	2005	"Kidnapping at the national level, rate per 100,000"	0.415
Kenya	2005	"Theft at the national level, rate per 100,000 population"	33.31
Kenya	2005	"Total Sexual Violence at the national level, rate per 100,000"	7.072
Kenya	2010	"Intentional homicide rates per 100,000"	4.5824
Kenya	2010	"Assault rate per 100,000 population"	33.49
Kenya	2010	"Kidnapping at the national level, rate per 100,000"	0.188
Kenya	2010	"Theft at the national level, rate per 100,000 population"	28.52
Kenya	2010	"Robbery at the national level, rate per 100,000 population"	6.764
Kenya	2010	"Total Sexual Violence at the national level, rate per 100,000"	11.461
Kenya	2016	"Intentional homicide rates per 100,000"	4.8174
Kenya	2016	"Percentage of male and female intentional homicide victims, Male"	7.076
Kenya	2016	"Percentage of male and female intentional homicide victims, Female"	2.5878
Kenya	2016	"Assault rate per 100,000 population"	32.02
Kenya	2016	"Theft at the national level, rate per 100,000 population"	2.76
Kenya	2016	"Robbery at the national level, rate per 100,000 population"	5.411
Kenya	2016	"Total Sexual Violence at the national level, rate per 100,000"	12.697
Kenya	2017	"Intentional homicide rates per 100,000"	4.9103
Kenya	2017	"Percentage of male and female intentional homicide victims, Male"	8.1479
Kenya	2017	"Percentage of male and female intentional homicide victims, Female"	1.7138
Kenya	2017	"Assault rate per 100,000 population"	31.8
Kenya	2017	"Kidnapping at the national level, rate per 100,000"	0.076
Kenya	2017	"Robbery at the national level, rate per 100,000 population"	5.402
Kenya	2017	"Total Sexual Violence at the national level, rate per 100,000"	10.936
Kiribati	2001	"Intentional homicide rates per 100,000"	4.6596
Kiribati	2010	"Intentional homicide rates per 100,000"	3.8861
Kiribati	2012	"Intentional homicide rates per 100,000"	7.5217
Kosovo	2010	"Intentional homicide rates per 100,000"	5.9695
Kosovo	2010	"Percentage of male and female intentional homicide victims, Male"	9.6171
Kosovo	2010	"Percentage of male and female intentional homicide victims, Female"	2.269
Kosovo	2010	"Kidnapping at the national level, rate per 100,000"	1.947
Kosovo	2017	"Intentional homicide rates per 100,000"	2.6215
Kosovo	2017	"Percentage of male and female intentional homicide victims, Male"	3.8323
Kosovo	2017	"Percentage of male and female intentional homicide victims, Female"	1.4441
Kosovo	2017	"Kidnapping at the national level, rate per 100,000"	0.897
Kuwait	2005	"Intentional homicide rates per 100,000"	1.806
Kuwait	2005	"Percentage of male and female intentional homicide victims, Male"	1.865
Kuwait	2005	"Percentage of male and female intentional homicide victims, Female"	1.7209
Kuwait	2005	"Assault rate per 100,000 population"	26.21
Kuwait	2005	"Kidnapping at the national level, rate per 100,000"	12.334
Kuwait	2005	"Theft at the national level, rate per 100,000 population"	431.28
Kuwait	2005	"Total Sexual Violence at the national level, rate per 100,000"	16.388
Kuwait	2009	"Intentional homicide rates per 100,000"	1.7369
Kuwait	2009	"Percentage of male and female intentional homicide victims, Male"	2.2643
Kuwait	2009	"Percentage of male and female intentional homicide victims, Female"	1.011
Kuwait	2009	"Assault rate per 100,000 population"	24.32
Kuwait	2009	"Kidnapping at the national level, rate per 100,000"	12.69
Kuwait	2009	"Theft at the national level, rate per 100,000 population"	288.16
Kuwait	2009	"Total Sexual Violence at the national level, rate per 100,000"	18.043
Kuwait	2010	"Intentional homicide rates per 100,000"	2.0054
Kuwait	2010	"Percentage of male and female intentional homicide victims, Male"	2.717
Kuwait	2010	"Percentage of male and female intentional homicide victims, Female"	1.0301
Kuwait	2012	"Intentional homicide rates per 100,000"	1.8215
Kuwait	2012	"Percentage of male and female intentional homicide victims, Male"	2.6284
Kuwait	2012	"Percentage of male and female intentional homicide victims, Female"	0.71
Kyrgyzstan	2005	"Intentional homicide rates per 100,000"	9.6742
Kyrgyzstan	2005	"Percentage of male and female intentional homicide victims, Male"	15.3037
Kyrgyzstan	2005	"Percentage of male and female intentional homicide victims, Female"	4.1413
Kyrgyzstan	2005	"Assault rate per 100,000 population"	5.2
Kyrgyzstan	2005	"Kidnapping at the national level, rate per 100,000"	0.473
Kyrgyzstan	2005	"Theft at the national level, rate per 100,000 population"	243.05
Kyrgyzstan	2009	"Intentional homicide rates per 100,000"	7.8542
Kyrgyzstan	2009	"Percentage of male and female intentional homicide victims, Male"	10.9196
Kyrgyzstan	2009	"Percentage of male and female intentional homicide victims, Female"	4.8568
Kyrgyzstan	2009	"Assault rate per 100,000 population"	6.73
Kyrgyzstan	2009	"Kidnapping at the national level, rate per 100,000"	0.112
Kyrgyzstan	2009	"Theft at the national level, rate per 100,000 population"	204.99
Kyrgyzstan	2010	"Intentional homicide rates per 100,000"	16.7641
Kyrgyzstan	2010	"Assault rate per 100,000 population"	9.89
Kyrgyzstan	2010	"Kidnapping at the national level, rate per 100,000"	1.549
Kyrgyzstan	2010	"Theft at the national level, rate per 100,000 population"	182.33
Kyrgyzstan	2010	"Robbery at the national level, rate per 100,000 population"	51.605
Kyrgyzstan	2016	"Intentional homicide rates per 100,000"	4.3955
Kyrgyzstan	2016	"Assault rate per 100,000 population"	4.66
Kyrgyzstan	2016	"Kidnapping at the national level, rate per 100,000"	0.873
Kyrgyzstan	2016	"Theft at the national level, rate per 100,000 population"	152.98
Kyrgyzstan	2016	"Robbery at the national level, rate per 100,000 population"	15.953
Kyrgyzstan	2017	"Intentional homicide rates per 100,000"	4.1359
Kyrgyzstan	2017	"Kidnapping at the national level, rate per 100,000"	0.775
Latvia	2005	"Intentional homicide rates per 100,000"	5.595
Latvia	2005	"Assault rate per 100,000 population"	48.85
Latvia	2005	"Kidnapping at the national level, rate per 100,000"	0.266
Latvia	2005	"Theft at the national level, rate per 100,000 population"	1078.46
Latvia	2005	"Total Sexual Violence at the national level, rate per 100,000"	32.016
Latvia	2010	"Intentional homicide rates per 100,000"	3.3037
Latvia	2010	"Assault rate per 100,000 population"	57.86
Latvia	2010	"Kidnapping at the national level, rate per 100,000"	0.378
Latvia	2010	"Theft at the national level, rate per 100,000 population"	1210.9
Latvia	2010	"Robbery at the national level, rate per 100,000 population"	50.59
Latvia	2010	"Total Sexual Violence at the national level, rate per 100,000"	10.901
Latvia	2016	"Intentional homicide rates per 100,000"	3.495
Latvia	2016	"Percentage of male and female intentional homicide victims, Male"	3.864
Latvia	2016	"Percentage of male and female intentional homicide victims, Female"	3.1821
Latvia	2016	"Assault rate per 100,000 population"	33.28
Latvia	2016	"Kidnapping at the national level, rate per 100,000"	0.405
Latvia	2016	"Theft at the national level, rate per 100,000 population"	738.1
Latvia	2016	"Robbery at the national level, rate per 100,000 population"	32.979
Latvia	2016	"Total Sexual Violence at the national level, rate per 100,000"	11.145
Latvia	2017	"Intentional homicide rates per 100,000"	4.1515
Latvia	2017	"Percentage of male and female intentional homicide victims, Male"	4.5764
Latvia	2017	"Percentage of male and female intentional homicide victims, Female"	3.7906
Latvia	2017	"Assault rate per 100,000 population"	33.68
Latvia	2017	"Kidnapping at the national level, rate per 100,000"	0.205
Latvia	2017	"Robbery at the national level, rate per 100,000 population"	30.958
Latvia	2017	"Total Sexual Violence at the national level, rate per 100,000"	13.429
Lebanon	2010	"Intentional homicide rates per 100,000"	3.2909
Lebanon	2010	"Assault rate per 100,000 population"	191.72
Lebanon	2010	"Kidnapping at the national level, rate per 100,000"	11.286
Lebanon	2010	"Theft at the national level, rate per 100,000 population"	579.75
Lebanon	2010	"Total Sexual Violence at the national level, rate per 100,000"	4.24
Lebanon	2015	"Intentional homicide rates per 100,000"	3.5361
Lebanon	2015	"Assault rate per 100,000 population"	118.92
Lebanon	2015	"Kidnapping at the national level, rate per 100,000"	15.384
Lebanon	2015	"Theft at the national level, rate per 100,000 population"	383.13
Lebanon	2015	"Robbery at the national level, rate per 100,000 population"	42.691
Lebanon	2015	"Total Sexual Violence at the national level, rate per 100,000"	3.153
Lebanon	2016	"Intentional homicide rates per 100,000"	3.5
Lebanon	2016	"Assault rate per 100,000 population"	111.57
Lebanon	2016	"Total Sexual Violence at the national level, rate per 100,000"	2.815
Lebanon	2017	"Intentional homicide rates per 100,000"	3.6074
Lebanon	2017	"Total Sexual Violence at the national level, rate per 100,000"	2.229
Lesotho	2009	"Intentional homicide rates per 100,000"	36.3292
Lesotho	2009	"Assault rate per 100,000 population"	368.44
Lesotho	2009	"Kidnapping at the national level, rate per 100,000"	3.115
Lesotho	2009	"Theft at the national level, rate per 100,000 population"	225.98
Lesotho	2010	"Intentional homicide rates per 100,000"	38.2847
Lesotho	2015	"Intentional homicide rates per 100,000"	43.5646
Liberia	2010	"Intentional homicide rates per 100,000"	3.315
Liberia	2012	"Intentional homicide rates per 100,000"	3.2643
Liechtenstein	2005	"Intentional homicide rates per 100,000"	0
Liechtenstein	2005	"Assault rate per 100,000 population"	202.86
Liechtenstein	2005	"Kidnapping at the national level, rate per 100,000"	0
Liechtenstein	2005	"Theft at the national level, rate per 100,000 population"	500
Liechtenstein	2005	"Total Sexual Violence at the national level, rate per 100,000"	51.429
Liechtenstein	2009	"Intentional homicide rates per 100,000"	0
Liechtenstein	2009	"Percentage of male and female intentional homicide victims, Male"	0
Liechtenstein	2009	"Percentage of male and female intentional homicide victims, Female"	0
Liechtenstein	2009	"Assault rate per 100,000 population"	250
Liechtenstein	2009	"Kidnapping at the national level, rate per 100,000"	0
Liechtenstein	2009	"Theft at the national level, rate per 100,000 population"	538.89
Liechtenstein	2009	"Total Sexual Violence at the national level, rate per 100,000"	8.333
Liechtenstein	2010	"Intentional homicide rates per 100,000"	2.7781
Liechtenstein	2010	"Percentage of male and female intentional homicide victims, Female"	0
Liechtenstein	2010	"Assault rate per 100,000 population"	213.89
Liechtenstein	2010	"Kidnapping at the national level, rate per 100,000"	0
Liechtenstein	2010	"Theft at the national level, rate per 100,000 population"	483.33
Liechtenstein	2010	"Robbery at the national level, rate per 100,000 population"	5.556
Liechtenstein	2010	"Total Sexual Violence at the national level, rate per 100,000"	16.667
Liechtenstein	2016	"Intentional homicide rates per 100,000"	0
Liechtenstein	2016	"Percentage of male and female intentional homicide victims, Male"	0
Liechtenstein	2016	"Percentage of male and female intentional homicide victims, Female"	0
Liechtenstein	2016	"Assault rate per 100,000 population"	186.84
Liechtenstein	2016	"Kidnapping at the national level, rate per 100,000"	0
Liechtenstein	2016	"Theft at the national level, rate per 100,000 population"	515.79
Liechtenstein	2016	"Robbery at the national level, rate per 100,000 population"	10.526
Liechtenstein	2016	"Total Sexual Violence at the national level, rate per 100,000"	23.684
Liechtenstein	2017	"Intentional homicide rates per 100,000"	2.6452
Liechtenstein	2017	"Percentage of male and female intentional homicide victims, Male"	0
Lithuania	2005	"Intentional homicide rates per 100,000"	11.1235
Lithuania	2005	"Percentage of male and female intentional homicide victims, Male"	17.508
Lithuania	2005	"Percentage of male and female intentional homicide victims, Female"	5.5845
Lithuania	2005	"Assault rate per 100,000 population"	12.17
Lithuania	2005	"Kidnapping at the national level, rate per 100,000"	2.093
Lithuania	2005	"Theft at the national level, rate per 100,000 population"	825.9
Lithuania	2005	"Total Sexual Violence at the national level, rate per 100,000"	16.687
Lithuania	2010	"Intentional homicide rates per 100,000"	7.0106
Lithuania	2010	"Percentage of male and female intentional homicide victims, Male"	10.0142
Lithuania	2010	"Percentage of male and female intentional homicide victims, Female"	4.4487
Lithuania	2010	"Assault rate per 100,000 population"	7.84
Lithuania	2010	"Kidnapping at the national level, rate per 100,000"	2.209
Lithuania	2010	"Theft at the national level, rate per 100,000 population"	849.23
Lithuania	2010	"Robbery at the national level, rate per 100,000 population"	87.292
Lithuania	2010	"Total Sexual Violence at the national level, rate per 100,000"	16.453
Lithuania	2016	"Intentional homicide rates per 100,000"	5.2949
Lithuania	2016	"Percentage of male and female intentional homicide victims, Male"	8.0333
Lithuania	2016	"Percentage of male and female intentional homicide victims, Female"	2.9533
Lithuania	2016	"Assault rate per 100,000 population"	7.47
Lithuania	2016	"Kidnapping at the national level, rate per 100,000"	0
Lithuania	2016	"Theft at the national level, rate per 100,000 population"	690.76
Lithuania	2016	"Robbery at the national level, rate per 100,000 population"	46.436
Lithuania	2016	"Total Sexual Violence at the national level, rate per 100,000"	7.197
Lithuania	2017	"Intentional homicide rates per 100,000"	4.5336
Lithuania	2017	"Percentage of male and female intentional homicide victims, Male"	6.1682
Lithuania	2017	"Percentage of male and female intentional homicide victims, Female"	3.1327
Lithuania	2017	"Assault rate per 100,000 population"	6.26
Lithuania	2017	"Kidnapping at the national level, rate per 100,000"	0
Lithuania	2017	"Robbery at the national level, rate per 100,000 population"	38.243
Lithuania	2017	"Total Sexual Violence at the national level, rate per 100,000"	7.944
Luxembourg	2004	"Intentional homicide rates per 100,000"	0.4427
Luxembourg	2004	"Percentage of male and female intentional homicide victims, Male"	0.4488
Luxembourg	2004	"Percentage of male and female intentional homicide victims, Female"	0.4367
Luxembourg	2005	"Intentional homicide rates per 100,000"	0.8737
Luxembourg	2010	"Intentional homicide rates per 100,000"	1.9689
Luxembourg	2010	"Percentage of male and female intentional homicide victims, Male"	1.9818
Luxembourg	2010	"Percentage of male and female intentional homicide victims, Female"	1.9562
Luxembourg	2010	"Assault rate per 100,000 population"	487.2
Luxembourg	2010	"Kidnapping at the national level, rate per 100,000"	5.316
Luxembourg	2010	"Theft at the national level, rate per 100,000 population"	1420.87
Luxembourg	2010	"Robbery at the national level, rate per 100,000 population"	74.213
Luxembourg	2010	"Total Sexual Violence at the national level, rate per 100,000"	41.535
Luxembourg	2014	"Intentional homicide rates per 100,000"	0.7214
Luxembourg	2014	"Percentage of male and female intentional homicide victims, Male"	0.7201
Luxembourg	2014	"Percentage of male and female intentional homicide victims, Female"	0.7226
Luxembourg	2014	"Assault rate per 100,000 population"	131.17
Luxembourg	2014	"Kidnapping at the national level, rate per 100,000"	9.378
Luxembourg	2014	"Theft at the national level, rate per 100,000 population"	1848.47
Luxembourg	2014	"Robbery at the national level, rate per 100,000 population"	110.811
